"block","subblock","repetition","repetitioncount","filename","alg","predictions","cache_prevalence","cache_nonprevalent","cache_localprevalent","filter","save_trees","clean_trees","maxdist","minprev","minfreq","pcachetime","pcachehit","pcachemiss","lcachetime","lcachehit","lcachemiss","fcachetime","fcachehit","fcachemiss","prcachetime","prcachehit","prcachemiss","time","memavail","candidate_instances_size_1","candidate_instances_size_2","candidate_instances_size_3","candidate_instances_size_4","candidate_instances_size_5","candidate_instances_size_6","candidate_instances_size_7","candidate_instances_size_8","candidate_instances_size_9","candidate_instances_size_10","candidate_instances_size_11","candidate_instances_size_12","candidate_instances_size_13","candidate_instances_size_14","candidate_instances_size_15","candidate_instances_size_16","candidate_instances_size_17","candidate_instances_size_18","candidate_instances_size_19","candidate_instances_size_20","candidate_colocations_size_1","candidate_colocations_size_2","candidate_colocations_size_3","candidate_colocations_size_4","candidate_colocations_size_5","candidate_colocations_size_6","candidate_colocations_size_7","candidate_colocations_size_8","candidate_colocations_size_9","candidate_colocations_size_10","candidate_colocations_size_11","candidate_colocations_size_12","candidate_colocations_size_13","candidate_colocations_size_14","candidate_colocations_size_15","candidate_colocations_size_16","candidate_colocations_size_17","candidate_colocations_size_18","candidate_colocations_size_19","candidate_colocations_size_20","pattern_instances_size_1","pattern_instances_size_2","pattern_instances_size_3","pattern_instances_size_4","pattern_instances_size_5","pattern_instances_size_6","pattern_instances_size_7","pattern_instances_size_8","pattern_instances_size_9","pattern_instances_size_10","pattern_instances_size_11","pattern_instances_size_12","pattern_instances_size_13","pattern_instances_size_14","pattern_instances_size_15","pattern_instances_size_16","pattern_instances_size_17","pattern_instances_size_18","pattern_instances_size_19","pattern_instances_size_20","pattern_colocations_size_1","pattern_colocations_size_2","pattern_colocations_size_3","pattern_colocations_size_4","pattern_colocations_size_5","pattern_colocations_size_6","pattern_colocations_size_7","pattern_colocations_size_8","pattern_colocations_size_9","pattern_colocations_size_10","pattern_colocations_size_11","pattern_colocations_size_12","pattern_colocations_size_13","pattern_colocations_size_14","pattern_colocations_size_15","pattern_colocations_size_16","pattern_colocations_size_17","pattern_colocations_size_18","pattern_colocations_size_19","pattern_colocations_size_20"
1,1,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094235.680868.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",12.680939799999999,670.1171875,"",270320,31347,0,"","","","","","","","","","","","","","","","","",1653,24,0,"","","","","","","","","","","","","","","","","",22423,10777,0,"","","","","","","","","","","","","","","","","",21,8,0,"","","","","","","","","","","","","","","",""
1,2,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094235.850120.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",12.2698605,682.01953125,"",275424,31010,9670,0,"","","","","","","","","","","","","","","","",1653,28,6,0,"","","","","","","","","","","","","","","","",29664,19755,975,0,"","","","","","","","","","","","","","","","",33,17,1,0,"","","","","","","","","","","","","","",""
1,3,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.035021.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",11.7337492,688.62109375,"",275644,30320,6340,0,"","","","","","","","","","","","","","","","",1653,25,4,0,"","","","","","","","","","","","","","","","",28151,19957,1266,0,"","","","","","","","","","","","","","","","",30,17,1,0,"","","","","","","","","","","","","","",""
1,4,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.251201.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",12.4720976,686.14453125,"",279592,42770,12063,3642,0,"","","","","","","","","","","","","","","",1653,45,6,1,0,"","","","","","","","","","","","","","","",47596,25448,12063,3642,0,"","","","","","","","","","","","","","","",51,21,6,1,0,"","","","","","","","","","","","","",""
1,5,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.482986.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",16.8576559,678.50390625,"",288145,83980,94112,107888,91351,49052,12058,0,"","","","","","","","","","","","",1653,97,76,57,28,8,1,0,"","","","","","","","","","","","",61180,67554,94112,107888,91351,49052,12058,0,"","","","","","","","","","","","",73,73,76,57,28,8,1,0,"","","","","","","","","","",""
1,6,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.652274.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",28.6763276,676.453125,"",294458,137672,195361,265394,288696,230741,116495,27256,0,"","","","","","","","","","","",1653,185,202,183,112,44,10,1,0,"","","","","","","","","","","",79147,117884,195361,265394,288696,230741,116495,27256,0,"","","","","","","","","","","",109,155,202,183,112,44,10,1,0,"","","","","","","","","",""
1,7,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.830655.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",28.0290944,628.609375,"",301460,146278,193051,222177,193206,116814,41757,6460,0,"","","","","","","","","","","",1653,192,207,184,112,44,10,1,0,"","","","","","","","","","","",91837,130198,193051,222177,193206,116814,41757,6460,0,"","","","","","","","","","","",122,165,207,184,112,44,10,1,0,"","","","","","","","","",""
1,8,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094236.999930.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",27.3372572,620.29296875,"",303005,154042,196102,218982,190138,116687,42177,6534,0,"","","","","","","","","","","",1653,195,212,185,112,44,10,1,0,"","","","","","","","","","","",96430,141193,196102,218982,190138,116687,42177,6534,0,"","","","","","","","","","","",123,177,212,185,112,44,10,1,0,"","","","","","","","","",""
1,9,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094237.169214.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",39.2698667,601.5390625,"",310244,168280,243070,299376,302709,231370,116110,28899,0,"","","","","","","","","","","",1653,191,217,186,112,44,10,1,0,"","","","","","","","","","","",99998,164117,243070,299376,302709,231370,116110,28899,0,"","","","","","","","","","","",124,185,217,186,112,44,10,1,0,"","","","","","","","","",""
1,10,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094237.338488.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",30.9297234,600.76953125,"",308402,165214,201476,222409,197103,125178,47342,7803,0,"","","","","","","","","","","",1653,209,218,186,112,44,10,1,0,"","","","","","","","","","","",105702,150543,201476,222409,197103,125178,47342,7803,0,"","","","","","","","","","","",134,189,218,186,112,44,10,1,0,"","","","","","","","","",""
1,11,1,1,"..\..\moving-objects-data-generator\moving-objects-data-generator\analyses\data\batch_01\SpatioTemporalStandardGenerator_output_file_2022-08-25_094237.532514.txt","FastMDCOPOrig","","","","","","","",10,0.5,0.5,"","","","","","","","","","","","",32.9186199,603.1875,"",316300,193638,255435,265152,216722,129915,48119,7654,0,"","","","","","","","","","","",1653,209,233,192,113,44,10,1,0,"","","","","","","","","","","",112992,193638,255435,265152,216722,129915,48119,7654,0,"","","","","","","","","","","",134,209,233,192,113,44,10,1,0,"","","","","","","","","",""
